Cyanobakterier,Calothrix,såpor,T
Lavar,Anaptychia runcinata,brun franslav,
Lavar,Caloplaca delvis,orangelavar,
Lavar,Lasallia pustulata ,tuschlav,
Lavar,Physcia spp.,rosettlavar,
Lavar,Ramalina spp.,brosklavar,
Lavar,"Rhizocarpon, delvis",Gulgröna kartlavar,
Lavar,Umbilicaria spp.,navellavar,
Lavar,Verrucaria maura,saltlav,T
Lavar,Xanthoria parietina,vägglav,
