Ranunculaceae,Actaea spicata,trolldruva
Rosaceae,Argentina anserina ssp. anserina,vanlig gåsört
Rosaceae,Argentina anserina ssp. groenlandica,grönländsk gåsört
Rosaceae,Comarum palustre,kråkklöver
Rosaceae,Filipendula ulmaria,älggräs
Rosaceae,Rubus saxatilis,stenbär
Scrophularicaceae,Linaria vulgaris,gulsporre
Scrophularicaceae,Verbascum spp,kungsljus
Scrophularicaceae,Veronica longifolia,strandveronika
Solanaceae,Hyoscyamus niger,bolmört
Urticaceae,Urtica dioica,brännässla
Urticaceae,Urtica urens,etternässla
Violaceae,Viola tricolor,styvmorsviol
